Код;Ссылка;ЭтоГруппа;Родитель
AM18162;01. Аксессуары (Чехлы и сумки, Манипуляторы, Аудиотехника);Да;
AM18244;01. Чехлы, сумки и аксессуары к цифровой технике;Да;01. Аксессуары (Чехлы и сумки, Манипуляторы, Аудиотехника)
AM18264;01. Чехлы и сумки для мобильных устройств;Да;01. Чехлы, сумки и аксессуары к цифровой технике
AM18225;Сумка, рюкзак для фото/видео камеры;Нет;01. Чехлы и сумки для мобильных устройств
AM27379;Чехол - аккумулятор;Нет;01. Чехлы и сумки для мобильных устройств
AM18259;Чехол для GSM;Нет;01. Чехлы и сумки для мобильных устройств
AM18300;Чехол для планшета;Нет;01. Чехлы и сумки для мобильных устройств
AM18223;Чехол для фото/видео камеры;Нет;01. Чехлы и сумки для мобильных устройств
AM18258;Чехол для электронных книг;Нет;01. Чехлы и сумки для мобильных устройств
AM18336;02. Батарейки, кабели и прочие аксессуары к цифровой технике;Да;01. Чехлы, сумки и аксессуары к цифровой технике
AM18337;USB хаб;Нет;02. Батарейки, кабели и прочие аксессуары к цифровой технике
AM18216;Аксессуар для HDD;Нет;02. Батарейки, кабели и прочие аксессуары к цифровой технике
AM18375;Батарейка/Аккумулятор;Нет;02. Батарейки, кабели и прочие аксессуары к цифровой технике
AM18376;Зарядное устройство для аккумуляторов AA/AAA;Нет;02. Батарейки, кабели и прочие аксессуары к цифровой технике
AM18363;Кабель;Нет;02. Батарейки, кабели и прочие аксессуары к цифровой технике
AM18364;Коммутационное оборудование;Нет;02. Батарейки, кабели и прочие аксессуары к цифровой технике
AM18369;Магнитный/оптический носитель;Нет;02. Батарейки, кабели и прочие аксессуары к цифровой технике
AM18388;Память USB Flash;Нет;02. Батарейки, кабели и прочие аксессуары к цифровой технике
AM18395;Сетевой фильтр;Нет;02. Батарейки, кабели и прочие аксессуары к цифровой технике
AM18379;Чистящее средство;Нет;02. Батарейки, кабели и прочие аксессуары к цифровой технике
EM05756;02. Стекла, пленки и аксессуары для моб устройств;Да;01. Аксессуары (Чехлы и сумки, Манипуляторы, Аудиотехника)
AM18242;01. Аксессуары для мобильных устройств;Да;02. Стекла, пленки и аксессуары для моб устройств
AM30128;OTG аксессуары;Нет;01. Аксессуары для мобильных устройств
AM20879;Аккумулятор для мобильных устройств;Нет;01. Аксессуары для мобильных устройств
AM18304;Аксессуары прочее;Нет;01. Аксессуары для мобильных устройств
AM18308;Держатели для мобильных устройств;Нет;01. Аксессуары для мобильных устройств
AM27380;Предметы для Селфи;Нет;01. Аксессуары для мобильных устройств
AM27042;02. Стекла и пленки;Да;02. Стекла, пленки и аксессуары для моб устройств
AM30129;Защитное стекло для смартфонов;Нет;02. Стекла и пленки
AM20887;Пленка защитная для планшетов;Нет;02. Стекла и пленки
AM20877;Пленка защитная для смартфонов;Нет;02. Стекла и пленки
EM09368;Списанное стекло и пленка;Нет;02. Стекла и пленки
EM05851;03. Карты памяти;Да;02. Стекла, пленки и аксессуары для моб устройств
AM18359;Кард - ридер;Нет;03. Карты памяти
AM18243;Карта памяти (Flash);Нет;03. Карты памяти
EM05852;04. Устройства для зарядки;Да;02. Стекла, пленки и аксессуары для моб устройств
AM18307;Зарядные и док станции для мобильных устройств;Нет;04. Устройства для зарядки
AM30127;Кабель для мобильных устройств;Нет;04. Устройства для зарядки
AM20878;Портативный аккумулятор;Нет;04. Устройства для зарядки
AM31753;03. Операторские комплекты и подарочные карты;Да;01. Аксессуары (Чехлы и сумки, Манипуляторы, Аудиотехника)
EM06049;Подарочные карты;Да;03. Операторские комплекты и подарочные карты
AM18253;Подарочная карта;Нет;Подарочные карты
EM06050;Сим-карты и Оборудование;Да;03. Операторские комплекты и подарочные карты
AM26309;Сим-карты, Data-комплекты (сим-карта + 3/4G модем);Нет;Сим-карты и Оборудование
EM06051;Страховые продукты;Да;03. Операторские комплекты и подарочные карты
EM03673;Страховой продукт;Нет;Страховые продукты
AM19032;04. Манипуляторы и аксессуары для ноутбука;Да;01. Аксессуары (Чехлы и сумки, Манипуляторы, Аудиотехника)
AM18396;01. Манипуляторы и вебкамеры;Да;04. Манипуляторы и аксессуары для ноутбука
AM30126;Bluetooth клавиатура и мышь;Нет;01. Манипуляторы и вебкамеры
AM18424;Аксессуар для манипуляторов;Нет;01. Манипуляторы и вебкамеры
AM18397;Веб-камера;Нет;01. Манипуляторы и вебкамеры
AM18399;Графический планшет;Нет;01. Манипуляторы и вебкамеры
EM10194;Клавиатура игровая;Нет;01. Манипуляторы и вебкамеры
AM18402;Клавиатура офисная;Нет;01. Манипуляторы и вебкамеры
EM10196;Коврик игровой;Нет;01. Манипуляторы и вебкамеры
AM18404;Коврик офисный;Нет;01. Манипуляторы и вебкамеры
EM10192;Мышь игровая;Нет;01. Манипуляторы и вебкамеры
AM18405;Мышь офисная;Нет;01. Манипуляторы и вебкамеры
AM18207;02. Аксессуары для ноутбуков;Да;04. Манипуляторы и аксессуары для ноутбука
AM18206;Адаптер для ноутбука;Нет;02. Аксессуары для ноутбуков
AM18202;Охлаждение для ноутбука;Нет;02. Аксессуары для ноутбуков
AM18200;Сумки, рюкзаки, чехлы для ноутбуков;Нет;02. Аксессуары для ноутбуков
AM19969;05. Аудио;Да;01. Аксессуары (Чехлы и сумки, Манипуляторы, Аудиотехника)
AM20020;01. Наушники;Да;05. Аудио
AM18260;Моногарнитура (Bluetooth);Нет;01. Наушники
AM18535;Наушники вкладыши;Нет;01. Наушники
EM00289;Наушники игровые;Нет;01. Наушники
AM18324;Наушники накладные;Нет;01. Наушники
EM03352;Стереогарнитура (Bluetooth);Нет;01. Наушники
EM05762;02. Колонки и портативные аудиосистемы;Да;05. Аудио
AM18548;Колонки 2.0;Нет;02. Колонки и портативные аудиосистемы
AM18550;Колонки 2.1;Нет;02. Колонки и портативные аудиосистемы
AM18551;Колонки 5.1;Нет;02. Колонки и портативные аудиосистемы
AM18552;Колонки портативные;Нет;02. Колонки и портативные аудиосистемы
AM19556;Портативная аудиосистема;Нет;02. Колонки и портативные аудиосистемы
AM20764;Радиобудильник;Нет;02. Колонки и портативные аудиосистемы
EM63794;Радиоприемник;Нет;02. Колонки и портативные аудиосистемы
AM18326;03. Микрофоны и аудио-аксессуары;Да;05. Аудио
AM24103;Аудио-усилители и адаптеры;Нет;03. Микрофоны и аудио-аксессуары
AM24104;Аудиокабели и переходники;Нет;03. Микрофоны и аудио-аксессуары
AM18325;Микрофон;Нет;03. Микрофоны и аудио-аксессуары
AM24106;Прочие аудио-аксессуары;Нет;03. Микрофоны и аудио-аксессуары
AM19971;04. Автозвук;Да;05. Аудио
AM18144;FM Трансмиттер;Нет;04. Автозвук
AM26713;ISO-Коннектор, разъемы;Нет;04. Автозвук
AM19346;Автомобильная акустическая система;Нет;04. Автозвук
AM18296;Автомобильная магнитола (1DIN);Нет;04. Автозвук
EM01197;Автомобильная магнитола (2DIN);Нет;04. Автозвук
AM26714;Автомобильный сабвуфер;Нет;04. Автозвук
AM26716;Автомобильный усилитель;Нет;04. Автозвук
AM26718;Конденсатор;Нет;04. Автозвук
AM26721;Установочный комплект;Нет;04. Автозвук
AM26722;Шумо и виброизоляция;Нет;04. Автозвук
EM05757;06. Аксессуары БТ, посуда;Да;01. Аксессуары (Чехлы и сумки, Манипуляторы, Аудиотехника)
AM28879;Аксессуары для КБТ;Да;06. Аксессуары БТ, посуда
AM30947;Аксессуары для вытяжек;Нет;Аксессуары для КБТ
EM04721;Аксессуары для кондиционеров ;Нет;Аксессуары для КБТ
AM19789;Аксессуары для плит и варочных поверхностей;Нет;Аксессуары для КБТ
AM23955;Аксессуары для стиральных и посудомоечных машин;Нет;Аксессуары для КБТ
AM23953;Аксессуары для холодильников;Нет;Аксессуары для КБТ
AM30960;Средства для прочей техники КБТ и уходу за домом;Нет;Аксессуары для КБТ
AM19787;Аксессуары для МБТ;Да;06. Аксессуары БТ, посуда
AM26920;Аксессуары для аквафильтров;Нет;Аксессуары для МБТ
AM20752;Аксессуары для бритв и эпиляторов;Нет;Аксессуары для МБТ
AM30954;Аксессуары для зубных щеток;Нет;Аксессуары для МБТ
AM20750;Аксессуары для мультиварок;Нет;Аксессуары для МБТ
AM30953;Аксессуары для мясорубок и прочей техники для нарезки и смешивания;Нет;Аксессуары для МБТ
EM04971;Аксессуары для СВЧ и прочей МБТ для жарки и подогрева;Нет;Аксессуары для МБТ
AM21716;Аксессуары для техники по приготовлению напитков;Нет;Аксессуары для МБТ
AM19788;Аксессуары для техники по уходу за одеждой;Нет;Аксессуары для МБТ
AM23785;Бытовая химия МБТ;Нет;Аксессуары для МБТ
AM26918;Гладильная Доска;Нет;Аксессуары для МБТ
AM30955;Капсулы для кофемашин;Нет;Аксессуары для МБТ
AM26919;Кронштейны для МБТ;Нет;Аксессуары для МБТ
AM30958;Прочие аксессуары для пылесосов и чистящей техники;Нет;Аксессуары для МБТ
AM30956;Пылесборники для пылесосов;Нет;Аксессуары для МБТ
AM23157;Сушилка для белья;Нет;Аксессуары для МБТ
AM30957;Фильтр для пылесоса;Нет;Аксессуары для МБТ
EM06147;Фильтр проточный;Нет;Аксессуары для МБТ
AM21592;Фильтр-кувшин;Нет;Аксессуары для МБТ
AM24334;Посуда;Да;06. Аксессуары БТ, посуда
AM26306;Дистиллятор;Нет;Посуда
EM00327;Кастрюля, Ковш;Нет;Посуда
EM00329;Крышка для посуды;Нет;Посуда
AM21589;Кухонная утварь;Нет;Посуда
EM03358;Лапшерезка;Нет;Посуда
EM00328;Набор посуды;Нет;Посуда
EM00324;Нож, ножницы;Нет;Посуда
EM00332;Посуда для СВЧ и хранения;Нет;Посуда
EM00325;Сковорода;Нет;Посуда
EM00326;Сотейник, Вок, Жаровня;Нет;Посуда
EM00331;Термос, Термокружка;Нет;Посуда
EM08252;Турка, Гейзерная кофеварка;Нет;Посуда
EM00333;Форма для выпекания;Нет;Посуда
AM29455;Холодильник автомобильный;Нет;Посуда
EM00330;Чайник;Нет;Посуда
EM05758;07. Видео аксессуары, аудиосистемы и освещение;Да;01. Аксессуары (Чехлы и сумки, Манипуляторы, Аудиотехника)
AM23092;01. Аудиосистемы;Да;07. Видео аксессуары, аудиосистемы и освещение
EM00963;Акустические системы Hi-Fi;Нет;01. Аудиосистемы
EM00970;Воспроизводящие устройства аудио Hi-Fi;Нет;01. Аудиосистемы
AM23091;Домашние аудиосистемы;Нет;01. Аудиосистемы
EM04684;Домашние кинотеатры;Нет;01. Аудиосистемы
EM01581;Магнитолы;Нет;01. Аудиосистемы
EM00962;Музыкальные инструменты;Нет;01. Аудиосистемы
EM00969;Ресиверы, усилители Hi-Fi;Нет;01. Аудиосистемы
AM18281;Саундбары;Нет;01. Аудиосистемы
EM45172;Электрогитары;Нет;01. Аудиосистемы
AM20766;02. Видео аксессуары;Да;07. Видео аксессуары, аудиосистемы и освещение
EM03401;Аксессуары для проекторов;Нет;02. Видео аксессуары
AM21571;Видеоплеер портативный;Нет;02. Видео аксессуары
AM21572;Видеоплеер стационарный;Нет;02. Видео аксессуары
AM18130;Комплект спутникового и IP-TV ТВ;Нет;02. Видео аксессуары
AM24618;Конвертер, переключатель сигнала (под заказ);Нет;02. Видео аксессуары
AM18330;Крепления для видеотехники;Нет;02. Видео аксессуары
EM63751;Крепления для мониторов;Нет;02. Видео аксессуары
AM21574;Медиаплеер стационарный;Нет;02. Видео аксессуары
AM21568;Модуль расширения для ТВ/Видео;Нет;02. Видео аксессуары
AM21569;Пульт ДУ для ТВ Видео;Нет;02. Видео аксессуары
AM18289;Стереоочки 3D;Нет;02. Видео аксессуары
AM24465;Стол, тумба, стойка для ТВ;Нет;02. Видео аксессуары
AM18136;ТВ антенны;Нет;02. Видео аксессуары
AM21575;Тюнер цифрового телевидения;Нет;02. Видео аксессуары
AM23627;Усилители, кабели, сплиттеры, переходники;Нет;02. Видео аксессуары
AM23626;Чехлы для пультов ДУ;Нет;02. Видео аксессуары
AM19454;03. Осветительное оборудование и дом;Да;07. Видео аксессуары, аудиосистемы и освещение
AM19456;Лампа светодиодная;Нет;03. Осветительное оборудование и дом
AM19427;Метеостанция;Нет;03. Осветительное оборудование и дом
AM21707;Настенные часы;Нет;03. Осветительное оборудование и дом
AM26333;Осветительное оборудование;Нет;03. Осветительное оборудование и дом
AM19455;Светильник декоративный, ночник;Нет;03. Осветительное оборудование и дом
AM20763;Светильник настольный;Нет;03. Осветительное оборудование и дом
AM18377;Фонарь;Нет;03. Осветительное оборудование и дом
EM06047;04. Кабель HDMI;Да;07. Видео аксессуары, аудиосистемы и освещение
AM24345;Кабель HDMI;Нет;04. Кабель HDMI
EM10592;08 Производство;Да;01. Аксессуары (Чехлы и сумки, Манипуляторы, Аудиотехника)
EM10596;Аксессуары для защитного стекла;Нет;08 Производство
EM10688;Защитное стекло для смартфона без упаковки;Нет;08 Производство
EM10593;Упаковка для защитного стекла;Нет;08 Производство
AM18266;02. Цифровая Электроника и GSM (Смартфоны, Планшеты, Цифровые камеры);Да;
AM18252;01. Средства связи GSM;Да;02. Цифровая Электроника и GSM (Смартфоны, Планшеты, Цифровые камеры)
AM18249;Смартфоны, Сотовые телефоны, Радиостанции, Умные часы и браслеты;Да;01. Средства связи GSM
AM19347;Радиостанции;Нет;Смартфоны, Сотовые телефоны, Радиостанции, Умные часы и браслеты
AM18250;Смартфон;Нет;Смартфоны, Сотовые телефоны, Радиостанции, Умные часы и браслеты
AM18248;Сотовый телефон;Нет;Смартфоны, Сотовые телефоны, Радиостанции, Умные часы и браслеты
AM27381;Умные часы и браслеты;Нет;Смартфоны, Сотовые телефоны, Радиостанции, Умные часы и браслеты
AM18265;02. Планшетные ПК, Электронные книги, GPS Навигатор;Да;02. Цифровая Электроника и GSM (Смартфоны, Планшеты, Цифровые камеры)
AM18257;Планшетные ПК, Электронные книги, GPS Навигатор;Да;02. Планшетные ПК, Электронные книги, GPS Навигатор
AM18156;GPS Навигатор;Нет;Планшетные ПК, Электронные книги, GPS Навигатор
AM18255;Планшетный ПК;Нет;Планшетные ПК, Электронные книги, GPS Навигатор
AM18246;Электронная книга;Нет;Планшетные ПК, Электронные книги, GPS Навигатор
AM18135;03. Интертеймент;Да;02. Цифровая Электроника и GSM (Смартфоны, Планшеты, Цифровые камеры)
AM20741;01. Игровые консоли;Да;03. Интертеймент
AM18134;Ретро консоли;Нет;01. Игровые консоли
EM08108;Современные игровые консоли;Нет;01. Игровые консоли
AM20770;02. Аксессуары ИК;Да;03. Интертеймент
AM27450;Аксессуары для консолей;Нет;02. Аксессуары ИК
AM21566;Геймпад;Нет;02. Аксессуары ИК
AM27452;Игровой контроллер;Нет;02. Аксессуары ИК
AM20740;03. Игры ИК/ПК и карты оплаты;Да;03. Интертеймент
EM04922;Blu-Ray Кино;Нет;03. Игры ИК/ПК и карты оплаты
EM00418;ESD карты оплаты (конверты) – игры, сервисы;Нет;03. Игры ИК/ПК и карты оплаты
EM08119;Игра для игровой консоли;Нет;03. Игры ИК/ПК и карты оплаты
AM27457;Игра для ПК;Нет;03. Игры ИК/ПК и карты оплаты
AM27451;Карта оплаты;Нет;03. Игры ИК/ПК и карты оплаты
AM26979;04. Плееры и диктофоны;Да;03. Интертеймент
AM18187;MP3 плеер;Нет;04. Плееры и диктофоны
AM18230;Диктофоны и переводчики;Нет;04. Плееры и диктофоны
AM18185;Мультимедиа плеер;Нет;04. Плееры и диктофоны
AM20771;05. Сувениры, полезные мелочи;Да;03. Интертеймент
AM30997;Конструкторы;Нет;05. Сувениры, полезные мелочи
EM08110;Мобильные средства передвижения;Нет;05. Сувениры, полезные мелочи
AM27458;Настольная игра;Нет;05. Сувениры, полезные мелочи
AM23878;Пакет подарочный;Нет;05. Сувениры, полезные мелочи
AM18299;Полезные мелочи и прочее;Нет;05. Сувениры, полезные мелочи
AM27459;Радиоуправляемая техника;Нет;05. Сувениры, полезные мелочи
AM23973;Сувенирная продукция;Нет;05. Сувениры, полезные мелочи
AM18245;04. Цифровые камеры, Фотооборудование;Да;02. Цифровая Электроника и GSM (Смартфоны, Планшеты, Цифровые камеры)
AM18183;1. Цифровые фото и видеокамеры;Да;04. Цифровые камеры, Фотооборудование
AM18241;Видеокамеры;Нет;1. Цифровые фото и видеокамеры
AM18182;Зеркальные камеры Любит.;Нет;1. Цифровые фото и видеокамеры
EM59531;Зеркальные камеры Проф.;Нет;1. Цифровые фото и видеокамеры
AM18181;Камера со сменной оптикой;Нет;1. Цифровые фото и видеокамеры
AM18180;Компактные камеры;Нет;1. Цифровые фото и видеокамеры
AM29233;Фотокамеры моментальной печати;Нет;1. Цифровые фото и видеокамеры
AM18240;Экшн-Видеокамера;Нет;1. Цифровые фото и видеокамеры
AM18199;2. Аксессуары для фото;Да;04. Цифровые камеры, Фотооборудование
AM18198;АКБ и зарядное устройство для фото/видео камер;Нет;2. Аксессуары для фото
AM18238;Аксессуары для цифровых камер;Нет;2. Аксессуары для фото
AM26923;Аксессуары для экшн-камер;Нет;2. Аксессуары для фото
AM26315;Бинокли и телескопы;Нет;2. Аксессуары для фото
EM07537;Компактные фотопринтеры;Нет;2. Аксессуары для фото
AM18234;Наборы освещения;Нет;2. Аксессуары для фото
AM29232;Объективы для камер со сменной оптикой;Нет;2. Аксессуары для фото
AM18191;Объективы Любит.;Нет;2. Аксессуары для фото
EM59532;Объективы Проф.;Нет;2. Аксессуары для фото
AM21950;Средства для чистки оптики и матриц;Нет;2. Аксессуары для фото
AM18228;Фоторамки;Нет;2. Аксессуары для фото
AM18233;Фотофильтры;Нет;2. Аксессуары для фото
AM18232;Штативы;Нет;2. Аксессуары для фото
AM26712;3. Автовидео;Да;04. Цифровые камеры, Фотооборудование
AM18155;Видеорегистратор;Нет;3. Автовидео
AM18154;Радар-детектор;Нет;3. Автовидео
AM18222;03. IT Техника (Ноутбуки, Компьютеры, Комплектующие, Периферия);Да;
EM05098;00. Компьютеры и Моноблоки;Да;03. IT Техника (Ноутбуки, Компьютеры, Комплектующие, Периферия)
EM05099;01. Компьютеры;Да;00. Компьютеры и Моноблоки
EM44982;VR станция и Док-станция;Нет;01. Компьютеры
EM06229;Виртуальный ГСБ;Нет;01. Компьютеры
AM23891;Микрокомпьютер;Нет;01. Компьютеры
AM18179;Неттопы, стики, платформы;Нет;01. Компьютеры
AM18178;Персональный компьютер;Нет;01. Компьютеры
EM44981;Сервер и Рабочая станция;Нет;01. Компьютеры
EM05100;02. Моноблоки;Да;00. Компьютеры и Моноблоки
AM18176;Моноблок;Нет;02. Моноблоки
AM18221;01. Ноутбуки;Да;03. IT Техника (Ноутбуки, Компьютеры, Комплектующие, Периферия)
AM18160;01. Ноутбуки;Да;01. Ноутбуки
AM18208;Ноутбуки;Нет;01. Ноутбуки
AM26888;02. Мониторы, Сетевое, ИБП, Софт;Да;03. IT Техника (Ноутбуки, Компьютеры, Комплектующие, Периферия)
AM20793;01. Мониторы;Да;02. Мониторы, Сетевое, ИБП, Софт
AM18335;Монитор;Нет;01. Мониторы
AM18429;02. Сетевое оборудование;Да;02. Мониторы, Сетевое, ИБП, Софт
AM18430;IP-камера и система видеонаблюдения;Нет;02. Сетевое оборудование
AM21542;KVM оборудование;Нет;02. Сетевое оборудование
AM18432;Адаптер BlueTooth;Нет;02. Сетевое оборудование
AM18433;Адаптер Wi-Fi;Нет;02. Сетевое оборудование
AM18435;Антенна;Нет;02. Сетевое оборудование
AM18437;Коммутатор;Нет;02. Сетевое оборудование
AM18438;Маршрутизатор;Нет;02. Сетевое оборудование
AM18434;Оборудование Powerline/PoE;Нет;02. Сетевое оборудование
AM18443;Оборудование VoIP;Нет;02. Сетевое оборудование
AM18444;Оборудование xDSL;Нет;02. Сетевое оборудование
AM18446;Принт-сервер;Нет;02. Сетевое оборудование
AM21559;Прочее сетевое оборудование;Нет;02. Сетевое оборудование
AM18447;Сетевая карта;Нет;02. Сетевое оборудование
AM18450;Точка доступа;Нет;02. Сетевое оборудование
AM18451;Усилитель интернет-сигнала;Нет;02. Сетевое оборудование
AM18442;Устройства связи 3G/4G;Нет;02. Сетевое оборудование
AM23619;03. Софт, ИБП, Стабилизаторы;Да;02. Мониторы, Сетевое, ИБП, Софт
EM05429;ESD карты оплаты (конверты) – ПО;Нет;03. Софт, ИБП, Стабилизаторы
AM19783;Аксессуары к ИБП;Нет;03. Софт, ИБП, Стабилизаторы
AM18392;ИБП;Нет;03. Софт, ИБП, Стабилизаторы
AM18469;Программное обеспечение;Нет;03. Софт, ИБП, Стабилизаторы
AM18393;Стабилизатор напряжения;Нет;03. Софт, ИБП, Стабилизаторы
AM20792;03. Комплектующие;Да;03. IT Техника (Ноутбуки, Компьютеры, Комплектующие, Периферия)
AM20794;01. Комплектующие для сборки компьютера (основные), серверное оборуд;Да;03. Комплектующие
AM18166;Блок питания системного блока;Нет;01. Комплектующие для сборки компьютера (основные), серверное оборуд
AM18173;Видеокарта;Нет;01. Комплектующие для сборки компьютера (основные), серверное оборуд
AM18165;Корпус;Нет;01. Комплектующие для сборки компьютера (основные), серверное оборуд
AM18172;Материнская плата;Нет;01. Комплектующие для сборки компьютера (основные), серверное оборуд
AM18171;Оперативная память;Нет;01. Комплектующие для сборки компьютера (основные), серверное оборуд
AM18219;Процессор;Нет;01. Комплектующие для сборки компьютера (основные), серверное оборуд
AM18458;Серверное оборудование;Нет;01. Комплектующие для сборки компьютера (основные), серверное оборуд
AM18355;Устройство для охлаждения и моддинг;Нет;01. Комплектующие для сборки компьютера (основные), серверное оборуд
AM20796;02. Накопители информации, приводы и аксессуары ;Да;03. Комплектующие
AM18436;Внешнее хранилище;Нет;02. Накопители информации, приводы и аксессуары 
AM18217;Внешний диск;Нет;02. Накопители информации, приводы и аксессуары 
AM18212;Жесткий диск;Нет;02. Накопители информации, приводы и аксессуары 
